,Item,Discounted Price,url link
72,Drypers Wee Wee Dry Diapers - M (6 - 11kg),$16.90,https://www.fairprice.com.sg/product/drypers-wee-wee-dry-diapers---m-6---11kg-13148533
73,Sterling Red Wine - Merlot ,$26.50,https://www.fairprice.com.sg/product/sterling-merlot-750ml-13100260
74,Heaven & Earth Bottle Drink - Lychee & Rose White Tea,$2.05,https://www.fairprice.com.sg/product/13167826
75,Yifon Drink - Snow Mushroom,$1.95,https://www.fairprice.com.sg/product/13167435
76,Drypers Wee Wee Dry Diapers - M (6 - 11kg),$16.90,https://www.fairprice.com.sg/product/drypers-wee-wee-dry-diapers---m-6---11kg-13085218
77,Yifon Drink - Black Fungus,$1.95,https://www.fairprice.com.sg/product/13167436
78,Drypers Wee Wee Dry Diapers - S (3 - 7kg),$16.90,https://www.fairprice.com.sg/product/drypers-wee-wee-dry-diapers-s-3-7kg-82s-13085217
79,Drypers Wee Wee Dry Diapers - XL (12 - 17kg),$16.90,https://www.fairprice.com.sg/product/13085230
80,TENA Pants Plus Unisex Adult Diapers - XL,$23.95,https://www.fairprice.com.sg/product/tena-plus-adult-diapers-pants-xl-120-160cm-12s-13027088
81,Drypers Wee Wee Dry Diapers - L (9 - 14kg),$16.90,https://www.fairprice.com.sg/product/13085219
82,F&N Flavoured Bottle Drink - Sarsi,$1.30,https://www.fairprice.com.sg/product/f-n-pet-sarsi-15lt-454348
83,Daim Smooth Milk Chocolate - Travel Pack,$4.95,https://www.fairprice.com.sg/product/daim-smooth-milk-chocolate-x2d-travel-pack-280g-13105230
84,Ikan Brand Instant Fish Sauce - Asam Style,$2.10,https://www.fairprice.com.sg/product/ikan-brand-asam-style-fish-paste-200g-12123104
85,Van Houten Milk Chocolate Gift Tin - Assortment,$3.95,https://www.fairprice.com.sg/product/13007097
86,Ikan Brand Instant Paste - Rendang,$2.10,https://www.fairprice.com.sg/product/ikan-brand-instant-redang-paste-200g-12123147
87,Cap Royal Bordeaux White Wine - Sauvignon Blanc,$21.00,https://www.fairprice.com.sg/product/cap-royal-bordeaux-sauvignon-blanc-750ml-13068137
88,Tao Kae Noi Seasoned Fish Snack Roll - Grilled Squid,$2.90,https://www.fairprice.com.sg/product/13159792
89,Tao Kae Noi Seasoned Fish Snack Roll - Spicy Grilled Squid,$2.90,https://www.fairprice.com.sg/product/13159794
90,Sterling Red Wine - Cabernet Sauvignon ,$26.50,https://www.fairprice.com.sg/product/sterling-cabernet-sauvignon-750ml-13100262
91,Sterling Vintnmer's Collection Champagne - Prosecco DOC,$26.50,https://www.fairprice.com.sg/product/sterling-vintnmers-collection-champagne---prosecco-doc-13129372
